,기업명,산업군,평점,,,기업명,산업군,평점,,,기업명,산업군,평점,,,기업명,산업군,평점
1,살다,IT/웹/통신,4.5,,1,밸러스,기관/협회,4.5,,1,케이에스에스해운,유통/무역/운송,4.5,,1,파이토웨이,의료/제약/복지,4
2,큐픽스,IT/웹/통신,4.5,,2,금융보안원,기관/협회,4.5,,2,애터미,유통/무역/운송,4.5,,2,나음케어,의료/제약/복지,3.9
3,핫셀러,IT/웹/통신,4.5,,3,한국어도비시스템즈,기관/협회,4.4,,3,지쿱,유통/무역/운송,4.3,,3,한국다이이찌산쿄,의료/제약/복지,3.8
4,페이스북코리아,IT/웹/통신,4.4,,4,삼성경제연구소,기관/협회,4.3,,4,부산교통공사,유통/무역/운송,4.2,,4,동화약품,의료/제약/복지,3.8
5,라이엇게임즈코리아,IT/웹/통신,4.4,,5,맥킨지인코포레이티드한국지점,기관/협회,4.3,,5,퀄컴씨디엠에이테크날러지코리아,유통/무역/운송,4.1,,5,한국엠에스디,의료/제약/복지,3.8
6,데이블,IT/웹/통신,4.4,,6,한국노동연구원,기관/협회,4.2,,6,인천국제공항공사,유통/무역/운송,4.1,,6,삼성바이오로직스,의료/제약/복지,3.7
7,센드버드코리아,IT/웹/통신,4.4,,7,베인앤드컴퍼니코리아인크,기관/협회,4.2,,7,신세계엘앤비,유통/무역/운송,3.9,,7,글락소스미스클라인,의료/제약/복지,3.7
8,유니티테크놀로지스코리아,IT/웹/통신,4.3,,8,한국원자력연구원,기관/협회,4.1,,8,서울특별시도시철도공사,유통/무역/운송,3.9,,8,스미스앤드네퓨,의료/제약/복지,3.7
9,구글코리아,IT/웹/통신,4.3,,9,주한미국대사관,기관/협회,4.1,,9,양키캔들리테일,유통/무역/운송,3.9,,9,한국로슈,의료/제약/복지,3.7
10,네이버웹툰,IT/웹/통신,4.3,,10,한국전자통신연구원,기관/협회,4.1,,10,팀프레시,유통/무역/운송,3.8,,10,메디스캔의원,의료/제약/복지,3.6
,,,,,,,,,,,,,,,,,,
,기업명,산업군,평점,,,기업명,산업군,평점,,,기업명,산업군,평점,,,기업명,산업군,평점
1,인천도시공사,건설업,4.2,,1,엔에이치알커뮤니케이션즈,미디어/디자인,4.3,,1,로버스트자산운용,은행/금융업,4.2,,1,비츠로밀텍,제조/화학,4.5
2,삼성인력개발원,건설업,4.2,,2,아키타입컴퍼니,미디어/디자인,4.1,,2,한국증권금융,은행/금융업,4.2,,2,한국중부발전,제조/화학,4.3
3,이넵스,건설업,4,,3,피엑스디,미디어/디자인,4,,3,한국예탁결제원,은행/금융업,4.2,,3,한국남동발전,제조/화학,4.3
4,경기주택도시공사,건설업,4,,4,금새인터랙티브,미디어/디자인,4,,4,한국은행,은행/금융업,4.1,,4,한국가스공사,제조/화학,4.2
5,한전KPS,건설업,3.9,,5,제이디자인웍스,미디어/디자인,3.9,,5,한국무역보험공사,은행/금융업,4.1,,5,에스케이종합화학,제조/화학,4.2
6,인천항만공사,건설업,3.8,,6,대학내일,미디어/디자인,3.8,,6,금융결제원,은행/금융업,4.1,,6,대륜이엔에스,제조/화학,4.1
7,한국산업단지공단,건설업,3.8,,7,체험,미디어/디자인,3.8,,7,한국산업은행,은행/금융업,4.1,,7,한국남부발전,제조/화학,4.1
8,한국토지주택공사,건설업,3.7,,8,제천국제음악영화제,미디어/디자인,3.7,,8,건설공제조합,은행/금융업,4.1,,8,한국동서발전,제조/화학,4.1
9,대전도시공사,건설업,3.7,,9,티비더블유에이코리아,미디어/디자인,3.7,,9,기술보증기금,은행/금융업,4.1,,9,한국서부발전,제조/화학,4.1
10,한국도로공사,건설업,3.7,,10,도서출판길벗,미디어/디자인,3.7,,10,예금보험공사,은행/금융업,4.1,,10,에스케이이노베이션,제조/화학,4
,,,,,,,,,,,,,,,,,,
,기업명,산업군,평점,,,기업명,산업군,평점,,,,,,,,,,
1,에듀윌,교육업,3.9,,1,익스피디아코리아,서비스업,4.3,,,,,,,,,,
2,강남대성학원,교육업,3.9,,2,한국퀄컴,서비스업,4.2,,,,,,,,,,
3,비즈엠코리아웍스,교육업,3.7,,3,한국마사회,서비스업,3.9,,,,,,,,,,
4,네이버커넥트,교육업,3.7,,4,더스윙,서비스업,3.8,,,,,,,,,,
5,부경대학교,교육업,3.7,,5,한국센서연구소,서비스업,3.8,,,,,,,,,,
6,한국교육과정평가원,교육업,3.7,,6,한국기업평가,서비스업,3.7,,,,,,,,,,
7,한국공정거래조정원,교육업,3.6,,7,패스트파이브,서비스업,3.7,,,,,,,,,,
8,광주과학기술원,교육업,3.6,,8,삼성여행사,서비스업,3.6,,,,,,,,,,
9,조선대학교,교육업,3.5,,9,에이치시티,서비스업,3.6,,,,,,,,,,
10,한국과학기술원,교육업,3.5,,10,김밥천국,서비스업,3.6,,,,,,,,,,
